Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
BLUE,SERENE,response_markdown,5f3165b1d0db5b100f0717ab,161.7949999636039,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
ORANGE,BORED,response_markdown,5f3165b1d0db5b100f0717ab,1012.3399999574758,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
RED,ANGRY,response_markdown,5f3165b1d0db5b100f0717ab,460.1549999788404,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
ORANGE,TIRED,response_markdown,5f3165b1d0db5b100f0717ab,419.1899999859743,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
RED,ALARMED,response_markdown,5f3165b1d0db5b100f0717ab,981.1549999867566,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
YELLOW,SERENE,response_markdown,5f316545004a2f651b6cc35e,584.2400002293289,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
ORANGE,ASTONISHED,response_markdown,5f316545004a2f651b6cc35e,1254.2899996042252,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
BLUE,SLEEPY,response_markdown,5f316545004a2f651b6cc35e,1168.4000003151596,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
BLUE,CALM,response_markdown,5f316545004a2f651b6cc35e,344.115000218153,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
RED,ALARMED,response_markdown,5f316545004a2f651b6cc35e,162.3699995689094,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
RED,FRUSTRATED,response_markdown,5f316545004a2f651b6cc35e,3659.84999993816,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
ORANGE,BORED,response_markdown,5f316545004a2f651b6cc35e,161.80500015616417,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
PURPLE,EXCITED,response_markdown,5f316545004a2f651b6cc35e,670.6199999898672,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
RED,ANGRY,response_markdown,5f316545004a2f651b6cc35e,501.589999999851,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
YELLOW,SURPRISED,response_markdown,5f316545004a2f651b6cc35e,461.3200002349913,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
BLUE,DEPRESSED,response_markdown,5f316545004a2f651b6cc35e,606.9649998098612,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
BLUE,SAD,response_markdown,5f316545004a2f651b6cc35e,1145.1650001108646,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
PURPLE,STRESSED,response_markdown,5f316545004a2f651b6cc35e,1036.310000345111,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
YELLOW,HAPPY,response_markdown,5f316545004a2f651b6cc35e,603.7200000137091,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
ORANGE,SATISFIED,response_markdown,5f316545004a2f651b6cc35e,1165.9200000576675,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
GREEN,DISGUSTED,response_markdown,5f316545004a2f651b6cc35e,398.83500011637807,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
RED,AFRAID,response_markdown,5f316545004a2f651b6cc35e,483.5899998433888,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
ORANGE,TIRED,response_markdown,5f316545004a2f651b6cc35e,126.18000013753772,3_ Emotion & Color Association Phase_ENGLISH,1835587.0
PURPLE,CALM,response_markdown,5f3165a20f10d5642fa4a88c,4857.594999950379,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
RED,TIRED,response_markdown,5f3165a20f10d5642fa4a88c,5507.364999968559,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
BLUE,DEPRESSED,response_markdown,5f3165a20f10d5642fa4a88c,1701.6049998346716,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
RED,ALARMED,response_markdown,5f3165a20f10d5642fa4a88c,834.7349998075515,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
BLUE,SAD,response_markdown,5f3165a20f10d5642fa4a88c,906.9600000511856,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
ORANGE,ASTONISHED,response_markdown,5f3165a20f10d5642fa4a88c,3272.1900001633912,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
